date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:55	685/685	---M-Z	200	added ('OK')	text/html	etag:W/%225f9c6b90-2ad%22	http://ziimo-halloween.pl/game.html	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/game.html	(from http://ziimo-halloween.pl/)
09:24:55	6097/6097	---M-Z	200	added ('OK')	text/html	etag:W/%225f9c6b90-17d1%22	http://ziimo-halloween.pl/regulamin.html	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/regulamin.html	(from http://ziimo-halloween.pl/)
09:24:58	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/Moje%20Strony%20Web/StronSerw/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from http://ziimo-halloween.pl/)
09:24:59	4483/4483	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f9c6b90-1183%22	http://ziimo-halloween.pl/js/now-ui-kit.min.js	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/js/now-ui-kit.min.js	(from http://ziimo-halloween.pl/)
09:24:59	2319/2319	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f9c6b90-90f%22	http://ziimo-halloween.pl/assets/wavy-purple-by-nouridio.svg	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/assets/wavy-purple-by-nouridio.svg	(from http://ziimo-halloween.pl/css/main.css)
09:24:59	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/Moje%20Strony%20Web/StronSerw/code.jquery.com/jquery-3.3.1.slim.min.js	(from http://ziimo-halloween.pl/)
09:24:59	58072/58072	---M-Z	200	added ('OK')	text/javascript	etag:%221550076057%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/Moje%20Strony%20Web/StronSerw/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from http://ziimo-halloween.pl/)
09:25:00	2315/2315	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f9c6b90-90b%22	http://ziimo-halloween.pl/assets/wavy-dark-by-nouridio.svg	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/assets/wavy-dark-by-nouridio.svg	(from http://ziimo-halloween.pl/css/main.css)
09:25:00	2639/2639	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f9c6b90-a4f%22	http://ziimo-halloween.pl/assets/wavy-light-by-nouridio.svg	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/assets/wavy-light-by-nouridio.svg	(from http://ziimo-halloween.pl/css/main.css)
09:25:00	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9205d6-247b%22	http://ziimo-halloween.pl/fonts/nucleo-outline.eot	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/fonts/nucleo-outline.eot	(from http://ziimo-halloween.pl/css/now-ui-kit.css)
09:25:01	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9205d6-247b%22	http://ziimo-halloween.pl/fonts/nucleo-outline.woff2	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/fonts/nucleo-outline.woff2	(from http://ziimo-halloween.pl/css/now-ui-kit.css)
09:25:01	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f975b20-247b%22	http://ziimo-halloween.pl/fonts/nucleo-outline.woff	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/fonts/nucleo-outline.woff	(from http://ziimo-halloween.pl/css/now-ui-kit.css)
09:25:01	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fce75-247b%22	http://ziimo-halloween.pl/fonts/nucleo-outline.ttf	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/fonts/nucleo-outline.ttf	(from http://ziimo-halloween.pl/css/now-ui-kit.css)
09:25:03	158460/158460	---M--	200	added ('OK')	image/gif	etag:%225f9c6b90-26afc%22	http://ziimo-halloween.pl/s200x200.png	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/s200x200.png	(from http://ziimo-halloween.pl/)
09:25:04	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f99a0e5-247b%22	http://ziimo-halloween.pl/features	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/features	(from http://ziimo-halloween.pl/reklama.html)
09:25:05	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/Moje%20Strony%20Web/StronSerw/code.jquery.com/jquery-3.3.1.min.js	(from http://ziimo-halloween.pl/game.html)
09:25:05	3556/3556	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f9c6b90-de4%22	http://ziimo-halloween.pl/main.js	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/main.js	(from http://ziimo-halloween.pl/game.html)
